Name,Description,Source Link,portalSourceName
Add option for slides dots to slideshow,"This would allow merchants to choose if they want to have dots for each slide in a slideshow to help shoppers navigate through slideshow content.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/38-add-option-for-slides-dots-to-slideshow,pxuthemes
Add option for second button on slideshows,"This would allow merchants to have two call to actions on one slideshow image.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/44-add-option-for-second-button-on-slideshows,pxuthemes
Add option to hide sold out variants,"This option would allow merchants to hide sold out options on the product page so shoppers never see them.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/40-add-option-to-hide-sold-out-variants,pxuthemes
Ability to hide out of stock variants,"When a product has out of stock variants currently they display in the product variants lists  but are greyed out. This would add an option to allow merchants to control the visibility of out of stock variants.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/10-ability-to-hide-out-of-stock-variants,pxuthemes
Customizable quick shop display,"The would add options to the theme editor where merchants could choose what information they want to show in the quick shop  vendor, sku, etc. and if they want to truncate the product description or show the whole thing.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/21-customizable-quick-shop-display,pxuthemes
Add Pre-order functionality to product,"This would be achieved through theme settings or through an alternate product template
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/87-add-pre-order-functionality-to-product,pxuthemes
Add option to allow sidebar to persist across entire theme,"This would give merchants the option to show the sidebar on all pages  or on just some pages.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/61-add-option-to-allow-sidebar-to-persist-across-entire-theme,pxuthemes
Pre-order available labels,"This would create a method using tags to indicate if a product is available for pre-order and label the product as such on the store front.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/23-pre-order-available-labels,pxuthemes
Add option to show vendor on cart items,"This would allow merchants to choose if they want to show the vendor of each product on the cart page.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/27-add-option-to-show-vendor-on-cart-items,pxuthemes
Unit Pricing,"Merchants selling in France and Germany are required to show unit prices for certain types of products to be compliant with the law. Ex: €9.99 / 100g. Unit prices make it easy for buyers to compare prices.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/109-unit-pricing,pxuthemes
Add option to add images in Meganav,"This would allow merchants to add images in the meganav that could be used to represent the collection  or for use as a promotion section.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/34-add-option-to-add-images-in-meganav,pxuthemes
Add option to disable product zoom,"This would allow merchants to choose whether or not there is zoom available on their product images
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/37-add-option-to-disable-product-zoom,pxuthemes
Add promo section option to sidebar,"This would allow merchants to input promotional images  text and links into the sidebar.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/60-add-promo-section-option-to-sidebar,pxuthemes
Allow  goal feature per variant,"This would expand the goal feature to be able to be used an a variant basis  not just a product basis.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/47-allow-goal-feature-per-variant,pxuthemes
Add option to hide out of stock variants on product page,"This would allow merchants to make out of stock variants hidden so shoppers never see them.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/46-add-option-to-hide-out-of-stock-variants-on-product-page,pxuthemes
Add option to control products per row,"This would allow merchant to choose how many products are in a row
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/91-add-option-to-control-products-per-row,pxuthemes
Add option for address/contact block in footer,"Add the option for merchants to share address/contact information in the footer if they choose.
",https://portal.productboard.com/pxuthemes/1-pixel-union-themes/c/80-add-option-for-address-contact-block-in-footer,pxuthemes
